DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AD,090111,1,QUANTITY_IN_100KG,2023,191.75,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AD,090121,1,QUANTITY_IN_100KG,2023,0.77,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AD,TOTAL,1,QUANTITY_IN_100KG,2013,1767386.87,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AD,TOTAL,1,QUANTITY_IN_100KG,2023,3510197.37,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,090111,1,QUANTITY_IN_100KG,2013,5.28,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,090111,1,QUANTITY_IN_100KG,2023,160.46,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,090112,1,QUANTITY_IN_100KG,2023,1.23,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,090121,1,QUANTITY_IN_100KG,2013,55.46,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,090121,1,QUANTITY_IN_100KG,2023,3257.93,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,090122,1,QUANTITY_IN_100KG,2013,0.69,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,090122,1,QUANTITY_IN_100KG,2023,9.74,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,09019010,1,QUANTITY_IN_100KG,2023,19.84,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,09019090,1,QUANTITY_IN_100KG,2013,0.10,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,09019090,1,QUANTITY_IN_100KG,2023,2.25,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,TOTAL,1,QUANTITY_IN_100KG,2013,49334607.69,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AE,TOTAL,1,QUANTITY_IN_100KG,2023,142022036.36,
